# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
8dev_lima | 8devices | Lima | 8devices Lima
adtran_bsap1800-v2 | Adtran/Bluesocket | BSAP-1800 | Adtran/Bluesocket BSAP-1800 (v2)
adtran_bsap1840 | Adtran/Bluesocket | BSAP-1840 | Adtran/Bluesocket BSAP-1840
airtight_c-75 | AirTight Networks | C-75 | AirTight Networks C-75
alcatel_hh40v | Alcatel | HH40V | Alcatel HH40V
alfa-network_ap121f | ALFA Network | AP121F | ALFA Network AP121F
alfa-network_ap121fe | ALFA Network | AP121FE | ALFA Network AP121FE
alfa-network_n2q | ALFA Network | N2Q | ALFA Network N2Q
alfa-network_n5q | ALFA Network | N5Q | ALFA Network N5Q
alfa-network_pi-wifi4 | ALFA Network | Pi-WiFi4 | ALFA Network Pi-WiFi4
alfa-network_r36a | ALFA Network | R36A | ALFA Network R36A
alfa-network_tube-2hq | ALFA Network | Tube-2HQ | ALFA Network Tube-2HQ
allnet_all-wap02860ac | ALLNET | ALL-WAP02860AC | ALLNET ALL-WAP02860AC
araknis_an-300-ap-i-n | Araknis | AN-300-AP-I-N | Araknis AN-300-AP-I-N
araknis_an-500-ap-i-ac | Araknis | AN-500-AP-I-AC | Araknis AN-500-AP-I-AC
araknis_an-700-ap-i-ac | Araknis | AN-700-AP-I-AC | Araknis AN-700-AP-I-AC
arduino_yun | Arduino | Yun | Arduino Yun
aruba_ap-105 | Aruba | AP-105 | Aruba AP-105
aruba_ap-115 | Aruba | AP-115 | Aruba AP-115
aruba_ap-175 | Aruba | AP-175 | Aruba AP-175
asus_pl-ac56 | ASUS | PL-AC56 | ASUS PL-AC56 (A1)
asus_rp-ac51 | ASUS | RP-AC51 | ASUS RP-AC51
asus_rp-ac66 | ASUS | RP-AC66 | ASUS RP-AC66
atheros_db120 | Atheros | DB120 | Atheros DB120
avm_fritz1750e | AVM | FRITZ!WLAN Repeater 1750E | AVM FRITZ!WLAN Repeater 1750E
avm_fritz300e | AVM | FRITZ!WLAN Repeater 300E | AVM FRITZ!WLAN Repeater 300E
avm_fritz4020 | AVM | FRITZ!Box 4020 | AVM FRITZ!Box 4020
avm_fritz450e | AVM | FRITZ!WLAN Repeater 450E | AVM FRITZ!WLAN Repeater 450E
avm_fritzdvbc | AVM | FRITZ!WLAN Repeater DVB-C | AVM FRITZ!WLAN Repeater DVB-C
belkin_f9j1108-v2 | Belkin | F9J1108 v2 (AC1750 DB Wi-Fi) | Belkin F9J1108 v2 (AC1750 DB Wi-Fi)
belkin_f9k1115-v2 | Belkin | F9K1115 v2 (AC1750 DB Wi-Fi) | Belkin F9K1115 v2 (AC1750 DB Wi-Fi)
buffalo_bhr-4grv | Buffalo | BHR-4GRV | Buffalo BHR-4GRV
buffalo_bhr-4grv2 | Buffalo | BHR-4GRV2 | Buffalo BHR-4GRV2
buffalo_wzr-600dhp | Buffalo | WZR-600DHP | Buffalo WZR-600DHP
buffalo_wzr-hp-ag300h | Buffalo | WZR-HP-AG300H | Buffalo WZR-HP-AG300H
buffalo_wzr-hp-g300nh-rb | Buffalo | WZR-HP-G300NH (RTL8366RB switch) | Buffalo WZR-HP-G300NH (RTL8366RB switch)
buffalo_wzr-hp-g300nh-s | Buffalo | WZR-HP-G300NH (RTL8366S switch) | Buffalo WZR-HP-G300NH (RTL8366S switch)
buffalo_wzr-hp-g302h-a1a0 | Buffalo | WZR-HP-G302H | Buffalo WZR-HP-G302H (A1A0)
buffalo_wzr-hp-g450h | Buffalo | WZR-HP-G450H/WZR-450HP | Buffalo WZR-HP-G450H/WZR-450HP
comfast_cf-e110n-v2 | COMFAST | CF-E110N | COMFAST CF-E110N (v2)
comfast_cf-e120a-v3 | COMFAST | CF-E120A | COMFAST CF-E120A (v3)
comfast_cf-e130n-v2 | COMFAST | CF-E130N | COMFAST CF-E130N (v2)
comfast_cf-e313ac | COMFAST | CF-E313AC | COMFAST CF-E313AC
comfast_cf-e314n-v2 | COMFAST | CF-E314N | COMFAST CF-E314N (v2)
comfast_cf-e375ac | COMFAST | CF-E375AC | COMFAST CF-E375AC
comfast_cf-e5 | COMFAST | CF-E5/E7 | COMFAST CF-E5/E7
comfast_cf-e560ac | COMFAST | CF-E560AC | COMFAST CF-E560AC
comfast_cf-ew72 | COMFAST | CF-EW72 | COMFAST CF-EW72
comfast_cf-wr650ac-v1 | COMFAST | CF-WR650AC | COMFAST CF-WR650AC (v1)
comfast_cf-wr650ac-v2 | COMFAST | CF-WR650AC | COMFAST CF-WR650AC (v2)
comfast_cf-wr752ac-v1 | COMFAST | CF-WR752AC | COMFAST CF-WR752AC (v1)
compex_wpj344-16m | Compex | WPJ344 | Compex WPJ344 (16M)
compex_wpj531-16m | Compex | WPJ531 | Compex WPJ531 (16M)
compex_wpj558-16m | Compex | WPJ558 | Compex WPJ558 (16M)
compex_wpj563 | Compex | WPJ563 | Compex WPJ563
devolo_dlan-pro-1200plus-ac | devolo | dLAN pro 1200+ WiFi ac | devolo dLAN pro 1200+ WiFi ac
devolo_dvl1200e | devolo | WiFi pro 1200e | devolo WiFi pro 1200e
