# OpenWrt Device Search Helper
# Version: 23.05.5
# Generated: Sun Apr 20 17:23:19 CEST 2025
# Format: device_id | platform/target | vendor | model

8dev_habanero-dvk | ipq40xx/generic | 8devices | Habanero DVK
8dev_jalapeno | ipq40xx/generic | 8devices | Jalapeno
alfa-network_ap120c-ac | ipq40xx/generic | ALFA Network | AP120C-AC
aruba_ap-303 | ipq40xx/generic | Aruba | AP-303
aruba_ap-303h | ipq40xx/generic | Aruba | AP-303H
aruba_ap-365 | ipq40xx/generic | Aruba | AP-365
asus_map-ac2200 | ipq40xx/generic | ASUS | Lyra (MAP-AC2200)
asus_rt-ac42u | ipq40xx/generic | ASUS | RT-AC42U
asus_rt-ac58u | ipq40xx/generic | ASUS | RT-AC58U
avm_fritzbox-4040 | ipq40xx/generic | AVM | FRITZ!Box 4040
avm_fritzbox-7530 | ipq40xx/generic | AVM | FRITZ!Box 7530
avm_fritzrepeater-1200 | ipq40xx/generic | AVM | FRITZ!Repeater 1200
avm_fritzrepeater-3000 | ipq40xx/generic | AVM | FRITZ!Repeater 3000
buffalo_wtr-m2133hp | ipq40xx/generic | Buffalo | WTR-M2133HP
cellc_rtl30vw | ipq40xx/generic | Cell C | RTL30VW
dlink_dap-2610 | ipq40xx/generic | D-Link | DAP-2610
edgecore_ecw5211 | ipq40xx/generic | Edgecore | ECW5211
engenius_eap1300 | ipq40xx/generic | EnGenius | EAP1300
extreme-networks_ws-ap3915i | ipq40xx/generic | Extreme Networks | WS-AP3915i
ezviz_cs-w3-wd1200g-eup | ipq40xx/generic | EZVIZ | CS-W3-WD1200G
glinet_gl-a1300 | ipq40xx/generic | GL.iNet | GL-A1300
glinet_gl-ap1300 | ipq40xx/generic | GL.iNet | GL-AP1300
glinet_gl-b1300 | ipq40xx/generic | GL.iNet | GL-B1300
glinet_gl-b2200 | ipq40xx/generic | GL.iNet | GL-B2200
linksys_ea6350v3 | ipq40xx/generic | Linksys | EA6350
linksys_ea8300 | ipq40xx/generic | Linksys | EA8300
linksys_mr8300 | ipq40xx/generic | Linksys | MR8300
linksys_whw01 | ipq40xx/generic | Linksys | WHW01
linksys_whw03v2 | ipq40xx/generic | Linksys | WHW03
luma_wrtq-329acn | ipq40xx/generic | Luma Home | WRTQ-329ACN
meraki_mr33 | ipq40xx/generic | Cisco Meraki | MR33
meraki_mr74 | ipq40xx/generic | Cisco Meraki | MR74
mobipromo_cm520-79f | ipq40xx/generic | MobiPromo | CM520-79F
netgear_ex6100v2 | ipq40xx/generic | NETGEAR | EX6100
netgear_ex6150v2 | ipq40xx/generic | NETGEAR | EX6150
netgear_rbr50 | ipq40xx/generic | NETGEAR | RBR50
netgear_rbs50 | ipq40xx/generic | NETGEAR | RBS50
netgear_srr60 | ipq40xx/generic | NETGEAR | SRR60
netgear_srs60 | ipq40xx/generic | NETGEAR | SRS60
netgear_wac510 | ipq40xx/generic | Netgear | WAC510
openmesh_a42 | ipq40xx/generic | OpenMesh | A42
openmesh_a62 | ipq40xx/generic | OpenMesh | A62
p2w_r619ac-128m | ipq40xx/generic | P&W | R619AC
p2w_r619ac-64m | ipq40xx/generic | P&W | R619AC
