# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ramips/mt7621/profiles.json
# Generated on: Sun Apr 20 17:51:07 CEST 2025

adslr_g7 | ADSLR | G7 | ADSLR G7
afoundry_ew1200 | AFOUNDRY | EW1200 | AFOUNDRY EW1200
alfa-network_ax1800rm | ALFA Network | AX1800RM | ALFA Network AX1800RM
alfa-network_quad-e4g | ALFA Network | Quad-E4G | ALFA Network Quad-E4G
ampedwireless_ally-00x19k | Amped Wireless | ALLY-00X19K | Amped Wireless ALLY-00X19K
ampedwireless_ally-r1900k | Amped Wireless | ALLY-R1900K | Amped Wireless ALLY-R1900K
arcadyan_we420223-99 | Arcadyan | WE420223-99 | Arcadyan WE420223-99
asiarf_ap7621-001 | AsiaRF | AP7621-001 | AsiaRF AP7621-001
asiarf_ap7621-nv1 | AsiaRF | AP7621-NV1 | AsiaRF AP7621-NV1
asus_rp-ac56 | ASUS | RP-AC56 | ASUS RP-AC56
asus_rp-ac87 | ASUS | RP-AC87 | ASUS RP-AC87
asus_rt-ac57u-v1 | ASUS | RT-AC57U | ASUS RT-AC57U (v1)
asus_rt-ac65p | ASUS | RT-AC65P | ASUS RT-AC65P
asus_rt-ac85p | ASUS | RT-AC85P | ASUS RT-AC85P
asus_rt-ax53u | ASUS | RT-AX53U | ASUS RT-AX53U
asus_rt-ax54 | ASUS | RT-AX54 | ASUS RT-AX54
asus_rt-n56u-b1 | ASUS | RT-N56U | ASUS RT-N56U (B1)
beeline_smartbox-flash | Beeline | SmartBox Flash | Beeline SmartBox Flash
beeline_smartbox-giga | Beeline | SmartBox GIGA | Beeline SmartBox GIGA
beeline_smartbox-pro | Beeline | SmartBox PRO | Beeline SmartBox PRO
beeline_smartbox-turbo | Beeline | SmartBox TURBO | Beeline SmartBox TURBO
beeline_smartbox-turbo-plus | Beeline | SmartBox TURBO+ | Beeline SmartBox TURBO+
belkin_rt1800 | Belkin | RT1800 | Belkin RT1800
bolt_arion | BOLT | Arion | BOLT Arion
buffalo_wsr-1166dhp | Buffalo | WSR-1166DHP | Buffalo WSR-1166DHP
buffalo_wsr-2533dhpl | Buffalo | WSR-2533DHPL | Buffalo WSR-2533DHPL
buffalo_wsr-600dhp | Buffalo | WSR-600DHP | Buffalo WSR-600DHP
comfast_cf-e390ax | ComFast | CF-E390AX | ComFast CF-E390AX
comfast_cf-ew72-v2 | ComFast | CF-EW72 V2 | ComFast CF-EW72 V2
cudy_m1800 | Cudy | M1800 | Cudy M1800
cudy_wr1300-v1 | Cudy | WR1300 | Cudy WR1300 (v1)
cudy_wr1300-v2 | Cudy | WR1300 | Cudy WR1300 (v2)
cudy_wr1300-v3 | Cudy | WR1300 | Cudy WR1300 (v3)
cudy_wr2100 | Cudy | WR2100 | Cudy WR2100
cudy_x6-v1 | Cudy | X6 | Cudy X6 (v1)
cudy_x6-v2 | Cudy | X6 | Cudy X6 (v2)
d-team_newifi-d2 | D-Team | Newifi D2 | D-Team Newifi D2
d-team_pbr-m1 | PandoraBox | PBR-M1 | PandoraBox PBR-M1
dlink_covr-x1860-a1 | D-Link | COVR-X1860 | D-Link COVR-X1860 (A1)
dlink_dap-1620-b1 | D-Link | DAP-1620 | D-Link DAP-1620 (B1)
dlink_dap-x1860-a1 | D-Link | DAP-X1860 | D-Link DAP-X1860 (A1)
dlink_dir-1935-a1 | D-Link | DIR-1935 | D-Link DIR-1935 (A1)
dlink_dir-1960-a1 | D-Link | DIR-1960 | D-Link DIR-1960 (A1)
dlink_dir-2640-a1 | D-Link | DIR-2640 | D-Link DIR-2640 (A1)
dlink_dir-2660-a1 | D-Link | DIR-2660 | D-Link DIR-2660 (A1)
dlink_dir-3060-a1 | D-Link | DIR-3060 | D-Link DIR-3060 (A1)
dlink_dir-853-a1 | D-Link | DIR-853 | D-Link DIR-853 (A1)
dlink_dir-853-a3 | D-Link | DIR-853 | D-Link DIR-853 (A3)
dlink_dir-853-r1 | D-Link | DIR-853 | D-Link DIR-853 (R1)
dlink_dir-860l-b1 | D-Link | DIR-860L | D-Link DIR-860L (B1)
dlink_dir-867-a1 | D-Link | DIR-867 | D-Link DIR-867 (A1)
dlink_dir-878-a1 | D-Link | DIR-878 | D-Link DIR-878 (A1)
dlink_dir-878-r1 | D-Link | DIR-878 | D-Link DIR-878 (R1)
dlink_dir-882-a1 | D-Link | DIR-882 | D-Link DIR-882 (A1)
dlink_dir-882-r1 | D-Link | DIR-882 | D-Link DIR-882 (R1)
dual-q_h721 | Dual-Q | H721 | Dual-Q H721
edimax_ra21s | Edimax | RA21S | Edimax RA21S
