# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/24.10.1/mediatek/filogic/profiles.json
# Generated on: Mon Apr 21 11:53:25 CEST 2025

abt_asr3000 | ABT | ASR3000 | ABT ASR3000
acelink_ew-7886cax | Acelink | EW-7886CAX | Acelink EW-7886CAX
acer_predator-w6 | Acer | Predator Connect W6 | Acer Predator Connect W6
acer_predator-w6d | Acer | Predator Connect W6d | Acer Predator Connect W6d
acer_vero-w6m | Acer | Connect Vero W6m | Acer Connect Vero W6m
arcadyan_mozart | Arcadyan | Mozart | Arcadyan Mozart
asus_rt-ax59u | ASUS | RT-AX59U | ASUS RT-AX59U
asus_tuf-ax4200 | ASUS | TUF-AX4200 | ASUS TUF-AX4200
asus_tuf-ax6000 | ASUS | TUF-AX6000 | ASUS TUF-AX6000
bananapi_bpi-r3 | Bananapi | BPi-R3 | Bananapi BPi-R3
bananapi_bpi-r3-mini | Bananapi | BPi-R3 Mini | Bananapi BPi-R3 Mini
bananapi_bpi-r4 | Bananapi | BPi-R4 | Bananapi BPi-R4
bananapi_bpi-r4-poe | Bananapi | BPi-R4 2.5GE | Bananapi BPi-R4 2.5GE
cetron_ct3003 | Cetron | CT3003 | Cetron CT3003
cmcc_a10-stock | CMCC | A10 (stock layout) | CMCC A10 (stock layout)
cmcc_a10-ubootmod | CMCC | A10 (OpenWrt U-Boot layout) | CMCC A10 (OpenWrt U-Boot layout)
cmcc_rax3000m | CMCC | RAX3000M | CMCC RAX3000M
comfast_cf-e393ax | COMFAST | CF-E393AX | COMFAST CF-E393AX
confiabits_mt7981 | Confiabits | MT7981 | Confiabits MT7981
cudy_ap3000-v1 | Cudy | AP3000 | Cudy AP3000 (v1)
cudy_ap3000outdoor-v1 | Cudy | AP3000 Outdoor | Cudy AP3000 Outdoor (v1)
cudy_m3000-v1 | Cudy | M3000 | Cudy M3000 (v1)
cudy_re3000-v1 | Cudy | RE3000 | Cudy RE3000 (v1)
cudy_tr3000-v1 | Cudy | TR3000 | Cudy TR3000 (v1)
cudy_wr3000-v1 | Cudy | WR3000 | Cudy WR3000 (v1)
cudy_wr3000s-v1 | Cudy | WR3000S | Cudy WR3000S (v1)
dlink_aquila-pro-ai-m30-a1 | D-Link | AQUILA PRO AI M30 | D-Link AQUILA PRO AI M30 (A1)
dlink_aquila-pro-ai-m60-a1 | D-Link | AQUILA PRO AI M60 | D-Link AQUILA PRO AI M60 (A1)
edgecore_eap111 | Edgecore | EAP111 | Edgecore EAP111
gatonetworks_gdsp | GatoNetworks | gdsp | GatoNetworks gdsp
glinet_gl-mt2500 | GL.iNet | GL-MT2500 | GL.iNet GL-MT2500
glinet_gl-mt3000 | GL.iNet | GL-MT3000 | GL.iNet GL-MT3000
glinet_gl-mt6000 | GL.iNet | GL-MT6000 | GL.iNet GL-MT6000
glinet_gl-x3000 | GL.iNet | GL-X3000 | GL.iNet GL-X3000
glinet_gl-xe3000 | GL.iNet | GL-XE3000 | GL.iNet GL-XE3000
h3c_magic-nx30-pro | H3C | Magic NX30 Pro | H3C Magic NX30 Pro
huasifei_wh3000 | Huasifei | WH3000 | Huasifei WH3000
jcg_q30-pro | JCG | Q30 PRO | JCG Q30 PRO
jdcloud_re-cp-03 | JDCloud | RE-CP-03 | JDCloud RE-CP-03
keenetic_kn-3811 | Keenetic | KN-3811 | Keenetic KN-3811
keenetic_kn-3911 | Keenetic | KN-3911 | Keenetic KN-3911
mediatek_mt7981-rfb | MediaTek | MT7981 rfb | MediaTek MT7981 rfb
mediatek_mt7986a-rfb-nand | MediaTek | MT7986 rfba AP (NAND) | MediaTek MT7986 rfba AP (NAND)
mediatek_mt7986b-rfb | MediaTek | MTK7986 rfbb AP | MediaTek MTK7986 rfbb AP
mediatek_mt7988a-rfb | MediaTek | MT7988A rfb | MediaTek MT7988A rfb
mercusys_mr90x-v1 | MERCUSYS | MR90X v1 | MERCUSYS MR90X v1
mercusys_mr90x-v1-ubi | MERCUSYS | MR90X v1 (UBI) | MERCUSYS MR90X v1 (UBI)
netcore_n60 | Netcore | N60 | Netcore N60
netgear_wax220 | NETGEAR | WAX220 | NETGEAR WAX220
netis_nx31 | netis | NX31 | netis NX31
nokia_ea0326gmp | Nokia | EA0326GMP | Nokia EA0326GMP
openembed_som7981 | OpenEmbed | SOM7981 | OpenEmbed SOM7981
openwrt_one | OpenWrt | One | OpenWrt One
qihoo_360t7 | Qihoo | 360T7 | Qihoo 360T7
routerich_ax3000 | Routerich | AX3000 | Routerich AX3000
routerich_ax3000-ubootmod | Routerich | AX3000 (OpenWrt U-Boot layout) | Routerich AX3000 (OpenWrt U-Boot layout)
ruijie_rg-x60-pro | Ruijie | RG-X60 Pro | Ruijie RG-X60 Pro
smartrg_sdg-8612 | Adtran | SDG-8612 | Adtran SDG-8612
smartrg_sdg-8614 | Adtran | SDG-8614 | Adtran SDG-8614
smartrg_sdg-8622 | Adtran | SDG-8622 | Adtran SDG-8622
smartrg_sdg-8632 | Adtran | SDG-8632 | Adtran SDG-8632
smartrg_sdg-8733 | Adtran | SDG-8733 | Adtran SDG-8733
smartrg_sdg-8733a | Adtran | SDG-8733A | Adtran SDG-8733A
